三电质保,电池容量,电池类型,新车续航,快充功能,快充,电池品牌,驱动电机
在保中,60kWh,磷酸铁锂,525km,支持,1h,,后置后驱
在保中,78.4kWh,三元锂,615km,支持,1h,LG(爱尔集),双电机四驱
在保中,76.8kWh,三元锂,594km,支持,1h,,双电机四驱
在保中,60kWh,磷酸铁锂,525km,支持,1h,,后置后驱
在保中,60kWh,磷酸铁锂,545km,支持,1h,宁德时代,后置后驱
在保中,60kWh,磷酸铁锂,545km,支持,1h,宁德时代,后置后驱
在保中,78.4kWh,三元锂,615km,支持,1h,LG(爱尔集),双电机四驱
在保中,76.8kWh,三元锂,594km,支持,1h,,双电机四驱
在保中,60kWh,磷酸铁锂,545km,支持,1h,宁德时代,后置后驱
在保中,60kWh,磷酸铁锂,525km,支持,1h,,后置后驱
在保中,60kWh,磷酸铁锂,525km,支持,1h,,后置后驱
在保中,60kWh,磷酸铁锂,545km,支持,1h,宁德时代,后置后驱
在保中,76.8kWh,三元锂,594km,支持,1h,,双电机四驱
在保中,60kWh,磷酸铁锂,545km,支持,1h,宁德时代,后置后驱
在保中,60kWh,磷酸铁锂,545km,支持,1h,宁德时代,后置后驱
在保中,60kWh,磷酸铁锂,545km,支持,1h,宁德时代,后置后驱
在保中,60kWh,磷酸铁锂,545km,支持,1h,宁德时代,后置后驱
在保中,60kWh,磷酸铁锂,545km,支持,1h,宁德时代,后置后驱
在保中,60kWh,磷酸铁锂,545km,支持,1h,宁德时代,后置后驱
在保中,76.8kWh,三元锂,594km,支持,1h,,双电机四驱
在保中,60kWh,磷酸铁锂,545km,支持,1h,宁德时代,后置后驱
在保中,60kWh,磷酸铁锂,545km,支持,1h,宁德时代,后置后驱
在保中,78.4kWh,三元锂,615km,支持,1h,LG(爱尔集),双电机四驱
在保中,60kWh,磷酸铁锂,545km,支持,1h,宁德时代,后置后驱
在保中,60kWh,磷酸铁锂,545km,支持,1h,宁德时代,后置后驱
在保中,60kWh,磷酸铁锂,545km,支持,1h,宁德时代,后置后驱
,60kWh,磷酸铁锂,545km,支持,1h,宁德时代,后置后驱
在保中,60kWh,磷酸铁锂,545km,支持,1h,宁德时代,后置后驱
在保中,60kWh,磷酸铁锂,525km,支持,1h,,后置后驱
在保中,60kWh,磷酸铁锂,545km,支持,1h,宁德时代,后置后驱
在保中,60kWh,磷酸铁锂,545km,支持,1h,宁德时代,后置后驱
在保中,60kWh,磷酸铁锂,525km,支持,1h,,后置后驱
在保中,76.8kWh,三元锂,594km,支持,1h,,双电机四驱
在保中,60kWh,磷酸铁锂,545km,支持,1h,宁德时代,后置后驱
在保中,60kWh,磷酸铁锂,545km,支持,1h,宁德时代,后置后驱
在保中,60kWh,磷酸铁锂,545km,支持,1h,宁德时代,后置后驱
在保中,60kWh,磷酸铁锂,545km,支持,1h,宁德时代,后置后驱
在保中,60kWh,磷酸铁锂,545km,支持,1h,宁德时代,后置后驱
在保中,60kWh,磷酸铁锂,545km,支持,1h,宁德时代,后置后驱
在保中,60kWh,磷酸铁锂,545km,支持,1h,宁德时代,后置后驱
在保中,60kWh,磷酸铁锂,525km,支持,1h,,后置后驱
在保中,78.4kWh,三元锂,615km,支持,1h,LG(爱尔集),双电机四驱
在保中,76.8kWh,三元锂,594km,支持,1h,,双电机四驱
在保中,60kWh,磷酸铁锂,545km,支持,1h,宁德时代,后置后驱
在保中,60kWh,磷酸铁锂,545km,支持,1h,宁德时代,后置后驱
在保中,78.4kWh,三元锂,615km,支持,1h,LG(爱尔集),双电机四驱
在保中,60kWh,磷酸铁锂,545km,支持,1h,宁德时代,后置后驱
在保中,60kWh,磷酸铁锂,525km,支持,1h,,后置后驱
在保中,60kWh,磷酸铁锂,545km,支持,1h,宁德时代,后置后驱
在保中,60kWh,磷酸铁锂,525km,支持,1h,,后置后驱
在保中,60kWh,磷酸铁锂,545km,支持,1h,宁德时代,后置后驱
